(10000, 47.637839555740356, 34221.123720750671, 189676.72882854525, 0.125, 2.662),
(20000, 40.04626107215881, 28706.558252212038, 235819.59344646323, 0.324, 1.859),
(30000, 40.440001487731934, 25299.07389476676, 251571.99620413454, 0.385, 1.805),
(40000, 40.517494201660156, 22225.424157214882, 259146.88870067842, 0.41, 1.62),
(50000, 40.484210729599, 19022.790297896798, 266290.94788124959, 0.376, 1.709),
(60000, 40.672457218170166, 15828.681586589692, 271212.40908269235, 0.418, 1.601),
(70000, 40.87223815917969, 12808.238036686402, 278392.50425313122, 0.339, 2.041),
(80000, 41.06807732582092, 11507.144813542811, 284179.5021731336, 0.466, 1.366),
(90000, 41.317198514938354, 10876.18437667639, 286037.22902907903, 0.511, 1.229),
(100000, 40.83290362358093, 9181.5096922084576, 289659.88187221042, 0.474, 1.364),
(110000, 47.637839555740356, 34221.123720750671, 293017.81075909169, 0.51, 1.26),
(120000, 40.04626107215881, 28706.558252212038, 294326.73815396428, 0.522, 1.234),
(130000, 40.440001487731934, 25299.07389476676, 296004.97368569457, 0.549, 1.145),
(140000, 40.517494201660156, 22225.424157214882, 297220.49758375192, 0.529, 1.275),
(150000, 40.484210729599, 19022.790297896798, 302002.88455733942, 0.53, 1.246),
(160000, 40.672457218170166, 15828.681586589692, 304412.79381525755, 0.521, 1.268),
(170000, 47.637839555740356, 34221.123720750671, 305249.96893342701, 0.527, 1.272),
(180000, 40.04626107215881, 28706.558252212038, 307382.74834899238, 0.527, 1.188),
(190000, 40.440001487731934, 25299.07389476676, 308547.23697250197, 0.478, 1.389),
