(10000, 391.56303334236145, 206316.03286655017, 206316.03286655017, 0.194, 1.926),
(20000, 394.603990316391, 71299.911215384316, 277615.9440819337, 0.594, 0.851),
(30000, 393.30701780319214, 43468.551940356454, 321084.49602229014, 0.604, 0.684),
(40000, 392.44503259658813, 32377.641431833505, 353462.13745412091, 0.733, 0.403),
(50000, 392.5978925228119, 27001.422232797024, 380463.55968691671, 0.799, 0.341),
(60000, 393.0265245437622, 22044.004649343002, 402507.56433625857, 0.869, 0.213),
(70000, 392.6267657279968, 19900.933538415054, 422408.4978746734, 0.866, 0.206),
(80000, 392.70026683807373, 15975.678152375853, 438384.17602705263, 0.815, 0.31),
(90000, 392.8135893344879, 17325.208718401384, 455709.38474545447, 0.915, 0.145),
(100000, 392.61425018310547, 12486.820363898418, 468196.20510935364, 0.908, 0.132),
(110000, 393.23773527145386, 19325.863544309494, 487522.06865366385, 0.917, 0.138),
(120000, 393.1118948459625, 14050.537143621284, 501572.60579728539, 0.934, 0.106),
(130000, 392.959499835968, 8798.7886015978711, 510371.39439888013, 0.927, 0.109),
(140000, 392.98947191238403, 8351.6446763145104, 518723.03907519544, 0.92, 0.132),
(150000, 392.2290852069855, 9742.5889684219383, 528465.62804362248, 0.919, 0.113),
(160000, 391.88195180892944, 8098.9315156695129, 536564.55955929135, 0.927, 0.112),
(170000, 391.7064757347107, 8348.3591688898578, 544912.91872818349, 0.947, 0.088),
(180000, 391.7878773212433, 7525.0177298379022, 552437.93645801465, 0.88, 0.187),
(190000, 391.6965606212616, 5923.3547829798727, 558361.29124099726, 0.936, 0.1),
(200000, 391.6782228946686, 5196.1907993690593, 563557.48204036523, 0.943, 0.094),
(210000, 391.6602408885956, 5841.0887683772689, 569398.57080874755, 0.935, 0.101),
(220000, 391.62941002845764, 6940.6528550779785, 576339.22366382834, 0.944, 0.086),
(230000, 391.4806432723999, 5381.3377270374085, 581720.56139086117, 0.944, 0.097),
(240000, 391.6400384902954, 5944.932176295787, 587665.49356715789, 0.952, 0.08),
(250000, 393.493225812912, 9593.2286228339817, 597258.7221899922, 0.901, 0.175),
(260000, 392.63477993011475, 3729.8955643985919, 600988.61775438662, 0.923, 0.117),
(270000, 392.80725622177124, 9497.0341808430294, 610485.65193523129, 0.926, 0.117),
(280000, 392.51092004776, 5041.6503099952697, 615527.30224522611, 0.925, 0.121),
(290000, 392.5017440319061, 4275.0254687125898, 619802.3277139354, 0.952, 0.073),
