(10000, 357.5777473449707, 110223.81006593205, 110223.81006593205, 0.832, 0.414),
(20000, 357.0888674259186, 27363.184204017351, 137586.99426994968, 0.838, 0.408),
(30000, 356.6592218875885, 20371.74146439086, 157958.7357343403, 0.915, 0.294),
(40000, 356.74936032295227, 16637.534904600485, 174596.27063894007, 0.916, 0.266),
(50000, 356.6296212673187, 14576.273287016396, 189172.54392595592, 0.914, 0.236),
(60000, 357.0363745689392, 14067.905695981444, 203240.44962193732, 0.916, 0.238),
(70000, 356.55230927467346, 11993.008880489588, 215233.45850242808, 0.929, 0.195),
(80000, 356.99915504455566, 11795.015373972492, 227028.47387640123, 0.922, 0.171),
(90000, 355.60425090789795, 9504.2269483954988, 236532.70082479715, 0.939, 0.158),
(100000, 354.70787048339844, 8541.2791595741455, 245073.9799843714, 0.943, 0.155),
(110000, 354.78701996803284, 7697.41951105917, 252771.39949543131, 0.946, 0.163),
(120000, 354.69905638694763, 7315.3795082704282, 260086.77900370248, 0.939, 0.121),
(130000, 354.9663019180298, 6886.8714015097194, 266973.6504052133, 0.935, 0.13),
(140000, 354.97426295280457, 6600.1127898935219, 273573.76319510635, 0.836, 0.263),
(150000, 354.94128799438477, 4398.5732064792646, 277972.33640158735, 0.96, 0.073),
(160000, 355.12650990486145, 4598.9385861058145, 282571.27498769655, 0.949, 0.095),
(170000, 354.7323863506317, 3774.3619805590984, 286345.63696825516, 0.951, 0.089),
(180000, 354.5927925109863, 4150.3895286790848, 290496.0264969322, 0.953, 0.109),
(190000, 354.69849920272827, 4377.1864509702882, 294873.21294790204, 0.957, 0.086),
(200000, 354.8045103549957, 3764.1359834583764, 298637.34893136343, 0.962, 0.08),
(210000, 354.5472846031189, 2395.0605440362369, 301032.40947539767, 0.975, 0.042),
(220000, 354.6765670776367, 2688.8033055356141, 303721.21278093319, 0.974, 0.047),
(230000, 354.77270889282227, 2571.8568292169944, 306293.06961015129, 0.963, 0.061),
(240000, 354.83449268341064, 2611.4348662606481, 308904.5044764115, 0.968, 0.054),
(250000, 354.5427677631378, 2058.1567782920774, 310962.66125470435, 0.962, 0.063),
(260000, 354.82984042167664, 2798.4142395880681, 313761.07549429231, 0.966, 0.069),
(270000, 354.6642744541168, 1683.1511467053156, 315444.22664099769, 0.969, 0.049),
(280000, 355.1006417274475, 1589.8707030813694, 317034.0973440833, 0.968, 0.05),
(290000, 354.69331097602844, 1775.5205681237946, 318809.61791220371, 0.974, 0.042),
(300000, 354.6638207435608, 1042.4347841700237, 319852.05269637209, 0.971, 0.057),
(310000, 354.87940192222595, 1554.3378737320929, 321406.39057010092, 0.976, 0.049),
(320000, 354.71914434432983, 1294.69571539651, 322701.08628549695, 0.977, 0.042),
(330000, 353.779593706131, 1243.4447471661629, 323944.53103266167, 0.975, 0.039),
(340000, 353.6688435077667, 1678.139449948573, 325622.67048261012, 0.974, 0.04),
(350000, 353.0746319293976, 2520.0568651599028, 328142.72734776966, 0.964, 0.084),
(360000, 353.09535479545593, 1048.494155650315, 329191.22150341998, 0.972, 0.043),
(370000, 352.9654245376587, 2248.968819851455, 331440.19032327289, 0.972, 0.041),
(380000, 352.90979290008545, 1244.3941963028074, 332684.5845195736, 0.982, 0.026),
(390000, 352.2878108024597, 1396.0755877554407, 334080.66010733013, 0.98, 0.034),
(400000, 350.65595030784607, 1249.8026224431792, 335330.46272977168, 0.979, 0.034),
