(10000, 44.68738603591919, 32968.704446893396, 166919.76926969879, 0.329, 1.563),
(20000, 39.92958664894104, 26313.680868541043, 215504.03511467326, 0.502, 1.141),
(30000, 40.25481915473938, 21800.983088276098, 244175.41135453936, 0.46, 1.292),
(40000, 39.89261031150818, 18128.680093805302, 263029.86480931693, 0.539, 1.02),
(50000, 40.45252323150635, 15650.908175845654, 275884.53798774729, 0.456, 1.253),
(60000, 40.0170476436615, 12950.240628816413, 285879.07120847848, 0.555, 0.899),
(70000, 40.30435037612915, 11878.710487587261, 292876.45717052731, 0.548, 0.983),
(80000, 39.689478158950806, 10506.721854259154, 300287.40881153557, 0.543, 1.002),
(90000, 39.30769968032837, 8781.8878604187339, 306062.92407472758, 0.594, 0.82),
(100000, 39.233705282211304, 7939.251765255487, 312043.505709538, 0.558, 0.975),
