(10000, 37.66224694252014, 33459.079863072911, 175771.58320518179, 0.103, 2.691),
(20000, 35.415223836898804, 27539.04789813131, 218568.44354788717, 0.18, 2.156),
(30000, 34.877845287323, 23718.424665593113, 238621.28505612732, 0.346, 1.439),
(40000, 35.51362895965576, 20259.780540734464, 251958.697697272, 0.357, 1.497),
(50000, 35.53490710258484, 17255.004040878241, 261430.79953289626, 0.376, 1.379),
(60000, 35.88890314102173, 14669.410118816368, 268740.84605278273, 0.383, 1.342),
(70000, 36.52675485610962, 12189.602618777377, 275237.24050756462, 0.398, 1.432),
(80000, 36.585556507110596, 10531.920254541135, 281248.44548399287, 0.34, 1.524),
(90000, 36.234534740448, 8768.3507270536429, 286806.07258520549, 0.366, 1.452),
(100000, 36.30903768539429, 7380.9624775831699, 290087.16442506504, 0.391, 1.367),
(110000, 37.66224694252014, 33459.079863072911, 292709.05975065118, 0.395, 1.305),
(120000, 35.415223836898804, 27539.04789813131, 296920.72566842689, 0.404, 1.326),
(130000, 34.877845287323, 23718.424665593113, 298343.00804472947, 0.397, 1.302),
(140000, 35.51362895965576, 20259.780540734464, 300016.77867249615, 0.395, 1.261),
(150000, 35.53490710258484, 17255.004040878241, 301643.19884758466, 0.38, 1.365),
