(10000, 40.0665078163147, 28522.024410413127, 122892.5266311228, 0.426, 0.995),
(20000, 35.910319328308105, 21437.529821718726, 147300.84948012102, 0.667, 0.557),
(30000, 36.308825969696045, 16848.590005317124, 158344.97218723738, 0.548, 0.822),
(40000, 36.610501289367676, 13231.006924048972, 164057.00892225225, 0.686, 0.542),
(50000, 36.56149339675903, 10470.42668533506, 166909.98354401486, 0.743, 0.443),
(60000, 36.858585596084595, 8647.9901167410135, 175313.42922537852, 0.689, 0.546),
(70000, 36.84252738952637, 7413.9427715863294, 178113.80121395673, 0.673, 0.551),
(80000, 36.758915185928345, 6245.1790024821266, 185172.78547782579, 0.706, 0.503),
(90000, 36.80802655220032, 5170.3694930075762, 188474.28065802981, 0.728, 0.465),
(100000, 36.844298362731934, 4905.4674004725375, 189342.59404764179, 0.752, 0.423),
