(10000, 37.602476835250854, 26003.656746604775, 103279.29106917772, 0.467, 0.913),
(20000, 34.139981746673584, 18587.139504536528, 130249.04749120324, 0.53, 0.796),
(30000, 34.06707167625427, 13578.55691636281, 143423.9175528184, 0.503, 0.889),
(40000, 34.11634802818298, 10462.845876861915, 156291.94932237518, 0.557, 0.803),
(50000, 34.31065535545349, 8194.6171941723005, 163494.42384925383, 0.567, 0.764),
(60000, 34.53964161872864, 6883.0326661587615, 169095.56835293039, 0.581, 0.751),
(70000, 34.588178396224976, 5890.4463996436052, 171776.39448103949, 0.588, 0.705),
(80000, 34.62616229057312, 5026.4593221159303, 174379.91077259291, 0.553, 0.779),
(90000, 34.598448276519775, 4730.5461320503455, 176670.42869932231, 0.56, 0.809),
(100000, 34.66328167915344, 3921.990310670868, 178476.11721689251, 0.533, 0.825),
