(10000, 65.7242112159729, 36949.010947190836, 191564.83639777137, 0.131, 2.309),
(20000, 43.637789487838745, 30915.121150250747, 243187.75212593045, 0.719, 0.674),
(30000, 41.728806495666504, 25389.603659626628, 267215.22852552391, 0.826, 0.438),
(40000, 40.59579873085022, 20616.149448771885, 286943.95776272408, 0.803, 0.475),
(50000, 40.35105109214783, 16425.276353886715, 306579.66904675425, 0.884, 0.305),
(60000, 40.14216947555542, 15732.679273580576, 320749.44513776054, 0.846, 0.403),
(70000, 40.40342688560486, 13179.115456739974, 330644.38667505246, 0.88, 0.304),
(80000, 40.47157025337219, 11872.736877606161, 340216.41631657397, 0.914, 0.196),
(90000, 40.590258836746216, 10772.704983486094, 343640.63277385168, 0.911, 0.184),
(100000, 40.759658336639404, 9712.438246630998, 347980.40834142681, 0.911, 0.191),
