(10000, 37.84940218925476, 26724.531723241842, 89649.523822670919, 0.64, 0.6),
(20000, 35.065868616104126, 19000.83123222625, 97279.410664230643, 0.76, 0.37),
(30000, 35.004037380218506, 12836.513912099248, 99805.217945963828, 0.78, 0.3),
(40000, 35.31594896316528, 9308.7645514527248, 101718.42271986709, 0.79, 0.29),
(50000, 35.43575835227966, 6802.8595972175972, 102583.89651365613, 0.8, 0.28),
(60000, 35.54720664024353, 5218.5848847408815, 104473.38008271526, 0.8, 0.34),
(70000, 35.62778639793396, 3386.3221510919743, 105017.61688565301, 0.82, 0.25),
(80000, 35.804572343826294, 2794.8201089445975, 105608.45214571693, 0.82, 0.27),
(90000, 35.66622591018677, 2159.032724398528, 105955.21202463224, 0.85, 0.23),
(100000, 35.733895778656006, 1417.2629372573958, 106080.8704470747, 0.83, 0.25),
(110000, 35.71963357925415, 1329.7838021343653, 107648.93047087779, 0.8, 0.26),
(120000, 35.7246208190918, 1382.7435640976807, 107649.80501896398, 0.83, 0.25),
(130000, 35.72732591629028, 1115.1779421567333, 108835.56900429209, 0.84, 0.22),
(140000, 35.74700117111206, 600.79800157234672, 108835.58542101372, 0.83, 0.24),
(150000, 35.70365047454834, 501.67037247932331, 109774.70510828952, 0.82, 0.23),
